SubsequenceLength,CurrentIndex,K,Precision,Recall,MRR
48,4032,5,0.0,0.0,0.0
48,8064,5,0.0,0.0,0.0
48,24192,5,0.9148936170212766,0.0070272920411832,0.0070272920411832
168,4032,5,0.7575757575757576,0.004085634907664651,0.002737375388135316
168,8064,5,0.7777777777777778,0.0022879555482922045,0.0022879555482922045
168,24192,5,0.0,0.0,0.0
672,8064,5,0.9181818181818182,0.01650596502696519,0.005501988342321724
672,24192,5,0.0,0.0,0.0
4032,24192,5,0.0,0.0,0.0
24,96,15,0.0,0.0,0.0
24,168,15,0.48214285714285715,0.004412485700277823,0.00015758877500992221
24,672,15,0.4909090909090909,0.004412485700277823,0.0003394219769444478
24,4032,15,0.48214285714285715,0.004412485700277823,0.004412485700277823
24,8064,15,0.0,0.0,0.0
24,24192,15,0.0,0.0,0.0
2,2,15,0.0,0.0,0.0
60,96,15,0.0,0.0,0.0
48,168,15,0.7543859649122807,0.0070272920411832,0.00046848613607888037
48,672,15,0.4716981132075472,0.004085634907664651,0.00021271242058952473
48,4032,15,0.0,0.0,0.0
48,8064,15,0.125,0.0003268507926131721,2.51423686625517e-05
48,24192,15,0.85,0.011112926948847851,0.0076083601169399506
168,4032,15,0.8235294117647058,0.02059159993462984,0.0035233737227527034
168,8064,15,0.5,0.0022879555482922045,0.0022879555482922045
168,24192,15,0.8782608695652174,0.01650596502696519,0.002750994171160862
672,8064,15,0.889795918367347,0.03562673639483576,0.006184846782361393
672,24192,15,0.5333333333333333,0.0026148063409053767,0.00021790052840878134
4032,24192,15,0.0,0.0,0.0
24,96,20,0.0,0.0,0.0
24,168,20,0.4090909090909091,0.004412485700277823,0.00013371168788720668
24,672,20,0.463768115942029,0.0052296126818107535,0.00036092531856373535
24,4032,20,0.45714285714285713,0.0052296126818107535,0.0044578816436963205
24,8064,20,0.0,0.0,0.0
24,24192,20,0.0,0.0,0.0
2,2,20,0.0,0.0,0.0
60,96,20,0.0,0.0,0.0
48,168,20,0.6935483870967742,0.0070272920411832,0.00046848613607888037
48,672,20,0.3968253968253968,0.004085634907664651,0.0001686178420086347
48,4032,20,0.0,0.0,0.0
48,8064,20,0.09523809523809523,0.0003268507926131721,2.51423686625517e-05
48,24192,20,0.8,0.011112926948847851,0.0076083601169399506
