SubsequenceLength,CurrentIndex,K,Precision,Recall,MRR
48,96,5,0.0,0.0,0.0
48,168,5,0.0,0.0,0.0
48,672,5,0.0,0.0,0.0
48,4032,5,0.3333333333333333,0.0011976047904191617,0.00030627871362940275
48,8064,5,0.3333333333333333,0.0011976047904191617,0.00030627871362940275
48,24192,5,0.0,0.0,0.0
168,672,5,0.0,0.0,0.0
168,4032,5,0.0,0.0,0.0
168,8064,5,0.0,0.0,0.0
168,24192,5,0.0,0.0,0.0
672,4032,5,0.9538461538461539,0.037125748502994015,0.012640449438202247
672,8064,5,0.9148936170212766,0.025748502994011976,0.00014044943820224718
672,24192,5,0.9148936170212766,0.025748502994011976,0.00014044943820224718
4032,8064,5,0.0,0.0,0.0
4032,24192,5,0.0,0.0,0.0
8064,24192,5,0.7272727272727273,0.004790419161676647,0.0003777618168137356
24,96,15,0.0,0.0,0.0
24,168,15,0.0,0.0,0.0
24,672,15,0.0,0.0,0.0
24,4032,15,0.42105263157894735,0.004790419161676647,0.0022135855785358084
24,8064,15,0.5416666666666666,0.007784431137724551,0.00041299034044057017
24,24192,15,0.0,0.0,0.0
48,96,15,0.0,0.0,0.0
48,168,15,0.0,0.0,0.0
48,672,15,0.125,0.0011976047904191617,0.00010209290454313425
48,4032,15,0.25,0.0023952095808383233,0.00030659621164703656
48,8064,15,0.855072463768116,0.035329341317365266,0.0005231855877009994
48,24192,15,0.5,0.008383233532934131,0.00010085728693898134
168,672,15,0.0,0.0,0.0
168,4032,15,0.0,0.0,0.0
168,8064,15,0.0,0.0,0.0
168,24192,15,0.0,0.0,0.0
672,4032,15,0.8266666666666667,0.037125748502994015,0.004213483146067416
672,8064,15,0.7543859649122807,0.025748502994011976,4.6816479400749066e-05
672,24192,15,0.8378378378378378,0.037125748502994015,0.0001909076617137036
4032,8064,15,0.5806451612903226,0.010778443113772455,0.00017021802235810018
4032,24192,15,0.43478260869565216,0.005988023952095809,8.809706271358737e-05
8064,24192,15,0.47368421052631576,0.005389221556886228,0.00021324625463208365
24,96,20,0.0,0.0,0.0
24,168,20,0.0,0.0,0.0
24,672,20,0.09523809523809523,0.0011976047904191617,7.656967840735069e-05
24,4032,20,0.5,0.008383233532934131,0.003166885612473285
24,8064,20,0.8311688311688312,0.03832335329341317,0.0005485206652334952
24,24192,20,0.3870967741935484,0.00718562874251497,7.541478129713424e-05
48,96,20,0.0,0.0,0.0
48,168,20,0.09523809523809523,0.0011976047904191617,7.656967840735069e-05
48,672,20,0.18181818181818182,0.0023952095808383233,0.050076569678407346
48,4032,20,0.4482758620689655,0.007784431137724551,0.0021530240818122006
48,8064,20,0.8082191780821918,0.035329341317365266,0.000472007025170654
48,24192,20,0.4375,0.008383233532934131,0.00015128593040847203
168,672,20,0.0,0.0,0.0
168,4032,20,0.0,0.0,0.0
168,8064,20,0.0,0.0,0.0
168,24192,20,0.05,0.0005988023952095808,4.1017227235438884e-05
672,4032,20,0.775,0.037125748502994015,0.0031601123595505617
672,8064,20,0.8,0.03832335329341317,0.0002197504246926284
672,24192,20,0.7848101265822784,0.037125748502994015,0.00014318074628527768
4032,8064,20,0.575,0.013772455089820359,0.00016131089227328576
4032,24192,20,0.39285714285714285,0.006586826347305389,0.00012912449943115522
8064,24192,20,0.47368421052631576,0.005389221556886228,0.00021324625463208365
24,96,30,0.0,0.0,0.0
24,168,30,0.0,0.0,0.0
24,672,30,0.0967741935483871,0.0017964071856287425,0.00010232850355361841
24,4032,30,0.7647058823529411,0.038922155688622756,0.0023214888005224686
24,8064,30,0.7529411764705882,0.03832335329341317,0.0004688102290938973
24,24192,30,0.2926829268292683,0.00718562874251497,5.027652086475616e-05
48,96,30,0.125,0.0023952095808383233,0.0333843797856049
48,168,30,0.125,0.0023952095808383233,0.0333843797856049
48,672,30,0.12903225806451613,0.0023952095808383233,0.06671771311893823
48,4032,30,0.7472527472527473,0.0407185628742515,0.0015967226321650515
48,8064,30,0.7228915662650602,0.03592814371257485,0.00036675468344710263
48,24192,30,0.3333333333333333,0.008383233532934131,0.00010085728693898134
168,672,30,0.03333333333333333,0.0005988023952095808,2.734481815695926e-05
