SubsequenceLength,CurrentIndex,K,Precision,Recall,F1-Score
48,8064,5,0.0,0.0,0.0
48,24192,5,0.9148936170212766,0.0070272920411832,0.013947453778786896
168,4032,5,0.7575757575757576,0.004085634907664651,0.008127438231469442
168,8064,5,0.7777777777777778,0.0022879555482922045,0.004562489815870947
168,24192,5,0.0,0.0,0.0
672,8064,5,0.9181818181818182,0.01650596502696519,0.03242896131000161
672,24192,5,0.0,0.0,0.0
4032,24192,5,0.0,0.0,0.0
24,96,15,0.0,0.0,0.0
24,168,15,0.48214285714285715,0.004412485700277823,0.008744939271255062
24,672,15,0.4909090909090909,0.004412485700277823,0.008746355685131196
24,4032,15,0.48214285714285715,0.004412485700277823,0.008744939271255062
24,8064,15,0.0,0.0,0.0
24,24192,15,0.0,0.0,0.0
2,2,15,0.0,0.0,0.0
60,96,15,0.0,0.0,0.0
48,168,15,0.7543859649122807,0.0070272920411832,0.013924870466321243
48,672,15,0.4716981132075472,0.004085634907664651,0.008101101749837978
48,4032,15,0.0,0.0,0.0
48,8064,15,0.125,0.0003268507926131721,0.0006519967400163
48,24192,15,0.85,0.011112926948847851,0.021939022422971452
168,4032,15,0.8235294117647058,0.02059159993462984,0.040178571428571425
168,8064,15,0.5,0.0022879555482922045,0.004555067512607776
168,24192,15,0.8782608695652174,0.01650596502696519,0.03240295155598332
672,8064,15,0.889795918367347,0.03562673639483576,0.06851037083595224
672,24192,15,0.5333333333333333,0.0026148063409053767,0.005204098227354042
4032,24192,15,0.0,0.0,0.0
24,96,20,0.0,0.0,0.0
24,168,20,0.4090909090909091,0.004412485700277823,0.008730800323362976
24,672,20,0.463768115942029,0.0052296126818107535,0.010342598577892695
24,4032,20,0.45714285714285713,0.0052296126818107535,0.010340927451930845
24,8064,20,0.0,0.0,0.0
24,24192,20,0.0,0.0,0.0
2,2,20,0.0,0.0,0.0
60,96,20,0.0,0.0,0.0
48,168,20,0.6935483870967742,0.0070272920411832,0.013913606212586959
48,672,20,0.3968253968253968,0.004085634907664651,0.008087997411840828
48,4032,20,0.0,0.0,0.0
48,8064,20,0.09523809523809523,0.0003268507926131721,0.0006514657980456026
48,24192,20,0.8,0.011112926948847851,0.021921341070277243
168,4032,20,0.7730061349693251,0.02059159993462984,0.040114613180515755
168,8064,20,0.42424242424242425,0.0022879555482922045,0.004551365409622887
168,24192,20,0.8416666666666667,0.01650596502696519,0.03237698349094406
672,8064,20,0.901685393258427,0.05245955221441412,0.09915057915057915
672,24192,20,0.8666666666666667,0.019120771367870566,0.0374160537256156
4032,24192,20,0.0,0.0,0.0
24,96,30,0.4215686274509804,0.0070272920411832,0.013824144028291274
24,168,30,0.5511811023622047,0.011439777741461023,0.022414345180915785
24,672,30,0.5725190839694656,0.012256904722993954,0.024
24,4032,30,0.35555555555555557,0.0052296126818107535,0.010307617973908842
24,8064,30,0.0,0.0,0.0
24,24192,30,0.4215686274509804,0.0070272920411832,0.013824144028291274
2,2,30,0.0,0.0,0.0
60,96,30,0.48214285714285715,0.004412485700277823,0.008744939271255062
48,168,30,0.5972222222222222,0.0070272920411832,0.013891132288806333
48,672,30,0.6885245901639344,0.02059159993462984,0.03998730561726435
48,4032,30,0.0,0.0,0.0
48,8064,30,0.06451612903225806,0.0003268507926131721,0.0006504065040650406
48,24192,30,0.7157894736842105,0.011112926948847851,0.021886063727067914
168,4032,30,0.8125,0.03824154273574113,0.07304510691431247
168,8064,30,0.32558139534883723,0.0022879555482922045,0.004543979227523531
168,24192,30,0.7894736842105263,0.017159666612191534,0.03358925143953935
672,8064,30,0.8893528183716075,0.06961921882660566,0.12913003940588058
672,24192,30,0.8943089430894309,0.03595358718744893,0.06912804399057344
4032,24192,30,0.0,0.0,0.0
24,96,40,0.47297297297297297,0.011439777741461023,0.022339237274613052
24,168,40,0.4794520547945205,0.011439777741461023,0.022346368715083796
